                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.56371,                 2.5917,                 1.1212,                0.92721,                0.94906,                  0.995,                0.98741,                0.22634,                 0.6723,                0.79075,              0.0002208,              0.0002208,              0.0002208
                      2,                0.39094,                 1.1264,                0.97079,                0.99704,                 0.9991,                  0.995,                 0.9938,                0.18538,                0.42062,                 0.7756,             0.00042559,             0.00042559,             0.00042559
                      3,                0.34879,                 0.8351,                0.92599,                0.99235,                0.99743,                  0.995,                0.99261,                0.18869,                0.39071,                0.77605,             0.00061276,             0.00061276,             0.00061276
                      4,                0.32807,                0.66576,                0.91556,                0.99844,                      1,                  0.995,                0.99392,                0.17731,                0.26555,                0.76545,             0.00058776,             0.00058776,             0.00058776
                      5,                0.29084,                0.55559,                0.90331,                0.99886,                      1,                  0.995,                0.99322,                 0.1919,                0.25131,                0.77333,             0.00056135,             0.00056135,             0.00056135
                      6,                0.27664,                0.49082,                0.89373,                 0.9984,                      1,                  0.995,                0.99478,                0.15071,                0.21035,                0.75877,             0.00053493,             0.00053493,             0.00053493
                      7,                0.26446,                0.41468,                0.88814,                0.99879,                      1,                  0.995,                  0.995,                0.15353,                0.18936,                  0.759,             0.00050852,             0.00050852,             0.00050852
                      8,                0.24507,                0.37566,                0.88211,                0.99878,                      1,                  0.995,                0.98891,                 0.1326,                0.17254,                0.75236,             0.00048211,             0.00048211,             0.00048211
                      9,                 0.2271,                0.33874,                0.87372,                 0.9986,                      1,                  0.995,                  0.995,                0.12586,                0.15938,                 0.7522,             0.00045569,             0.00045569,             0.00045569
                     10,                0.21655,                0.29937,                 0.8657,                0.99876,                      1,                  0.995,                0.99479,                0.11311,                0.14361,                 0.7448,             0.00042928,             0.00042928,             0.00042928
                     11,                0.21475,                0.28627,                0.86863,                0.99877,                      1,                  0.995,                  0.995,                0.12178,                 0.1649,                0.74734,             0.00040287,             0.00040287,             0.00040287
                     12,                0.20751,                0.27111,                0.86278,                0.99853,                      1,                  0.995,                  0.995,                0.10739,                0.15294,                0.74703,             0.00037645,             0.00037645,             0.00037645
                     13,                0.20051,                0.26026,                0.86177,                0.99838,                      1,                  0.995,                  0.995,                 0.1006,                0.14785,                 0.7415,             0.00035004,             0.00035004,             0.00035004
                     14,                0.19748,                0.24921,                0.86596,                0.99832,                      1,                  0.995,                  0.995,                0.09722,                0.13254,                0.73939,             0.00032363,             0.00032363,             0.00032363
                     15,                0.19222,                0.23148,                0.85882,                 0.9989,                      1,                  0.995,                0.99485,                0.10613,                0.12325,                0.74147,             0.00029722,             0.00029722,             0.00029722
                     16,                0.12567,                0.21076,                0.78182,                0.99896,                      1,                  0.995,                  0.995,                0.09487,                0.11215,                0.73902,              0.0002708,              0.0002708,              0.0002708
                     17,                0.11681,                0.18692,                0.78381,                0.99876,                      1,                  0.995,                 0.9949,                0.08701,                0.11194,                0.73735,             0.00024439,             0.00024439,             0.00024439
                     18,                0.11072,                0.17285,                0.77715,                0.99848,                      1,                  0.995,                  0.995,                0.08129,                0.10772,                0.73636,             0.00021798,             0.00021798,             0.00021798
                     19,                0.10065,                  0.153,                0.77684,                0.99899,                      1,                  0.995,                  0.995,                0.08186,                 0.1067,                0.73633,             0.00019156,             0.00019156,             0.00019156
                     20,                0.09403,                0.14293,                 0.7767,                 0.9989,                      1,                  0.995,                  0.995,                0.07412,                0.10021,                0.73405,             0.00016515,             0.00016515,             0.00016515
                     21,                0.09151,                0.13739,                0.77472,                 0.9989,                      1,                  0.995,                  0.995,                0.07641,                0.09444,                0.73565,             0.00013874,             0.00013874,             0.00013874
                     22,                0.08149,                0.12525,                0.76593,                0.99912,                      1,                  0.995,                  0.995,                0.06178,                0.07295,                0.73135,             0.00011232,             0.00011232,             0.00011232
                     23,                0.07709,                0.11579,                0.76727,                  0.999,                      1,                  0.995,                  0.995,                0.05831,                  0.077,                0.73089,              8.591e-05,              8.591e-05,              8.591e-05
                     24,                0.07365,                0.11119,                0.76626,                0.99905,                      1,                  0.995,                  0.995,                0.06043,                0.07711,                0.73097,             5.9496e-05,             5.9496e-05,             5.9496e-05
                     25,                0.06905,                0.10604,                0.76652,                0.99907,                      1,                  0.995,                  0.995,                0.05519,                0.07435,                 0.7306,             3.3083e-05,             3.3083e-05,             3.3083e-05
